lessonId;lectureId
1;1
2;2
3;3
4;4
5;5
6;6
7;7
8;8
9;9
10;10
11;11
12;12
13;1
14;2
15;3
16;4
17;5
18;6
19;1
19;2
19;3
19;4
19;5
19;6
20;7
21;8
22;9
23;10
24;11
25;12
26;7
26;8
26;9
26;10
26;11
26;12
27;1
28;2
29;3
30;4
31;1
31;2
31;3
31;4
32;5
33;6
34;7
35;8
36;5
36;6
36;7
36;8
37;9
38;10
39;11
40;12
41;9
41;10
41;11
41;12
42;1
43;2
44;3
45;4
46;1
46;2
46;3
46;4
47;5
48;6
49;7
50;8
51;5
51;6
51;7
51;8
52;9
53;10
54;11
55;12
56;9
56;10
56;11
56;12
58;1
59;2
60;3
61;4
62;5
63;6
64;7
65;8
66;9
67;10
68;11
69;12



